"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"74","210.03123802516802","110.05066494169094","5.031462602993276","-0.3067427013413316","0.009500000000000064","0.0106","0.008399999999999963","1300","0.00023836052654922261","0","0.00023836052654922261","0.00023836052654922261","74_70:0.007546850664715804;74_89:0.007094349759161345","74_70:660;74_89:660","true"
"75","76.17733701770818","53.06147424916728","5.00608393105337","-0.30673349842246334","0.009200000000000097","0.013800000000000034","0.0046","1300","0.0005020047002358083","0","0.0005020047002358083","0.0005020047002358083","75_90:0.011074287579749237","75_90:660","true"
"76","88.43264360005273","15.44575956495482","4.837397958602822","-0.30948286299394656","0.013800000000000034","0.0186","0.009000000000000008","1300","0.0005873395868435333","0","0.0005873395868435333","0.0005873395868435333","76_75:0.01693967572279928","76_75:660","true"
"77","224.47854717219934","84.2348145622389","5.041931572803447","-0.30723078653018854","0.03309999999999991","0.022599999999999953","0.0436","1300","0.0009267551959236942","0","0.0009267551959236942","0.0009267551959236942","77_78:0.013117645618994672;77_71:0.017246635718872277;77_76:0.02635214647165407","77_78:780;77_71:660;77_76:660","true"
"78","277.31855476648803","311.65251012226804","4.643455107356276","-0.31230747337772335","0.008199999999999985","0.009000000000000008","0.0074","1300","0.00013427358746873928","0","0.00013427358746873928","0.00013427358746873928","","","true"
"79","243.93741008205157","67.98083750604209","4.863164547907876","-0.3092713261857367","0.009000000000000008","0.0116","0.006399999999999961","1300","0.00020206124647319907","0","0.00020206124647319907","0.00020206124647319907","79_80:0.005815471955211954;79_78:0.006201513743546466","79_80:660;79_78:660","true"
"80","197.70958754627264","185.70699423534106","5.031462467068204","-0.3072198090686745","0.0262","0.02200000000000002","0.0304","1300","0.00014815756103928529","0","0.00014815756103928529","0.00014815756103928529","80_81:0.006765022443827484","80_81:660","true"
"81","139.7802705103489","193.0534972883585","4.930445697593661","-0.30841914125984865","0.04600000000000004","0.048799999999999955","0.0432","1300","0.0002689160930878268","0","0.0002689160930878268","0.0002689160930878268","81_82:0.0065927591236211724;81_72:0.010173096576187923","81_82:660;81_72:660","true"
"82","314.8606800611255","246.7670315480456","4.893605875039818","-0.30897996872816896","0.012499999999999956","0.0142","0.010800000000000032","1300","0.00015153378235003133","0","0.00015153378235003133","0.00015153378235003133","82_83:0.007938308823878193","82_83:660","true"
"83","199.03347905379678","50.98611974403974","4.790688923010211","-0.31061744032224003","0.017299999999999982","0.0234","0.011199999999999988","1300","0.00032631022232960276","0","0.00032631022232960276","0.00032631022232960276","83_92:0.012294460297440662","83_92:660","true"
